"key","message","comment","context"
"Address",,,
"All Contact",,,
"Cites",,,
"City",,,
"Code",,,
"Contact",,,
"Contact Book",,,
"Contact Configuration",,,
"Contact No",,,
"Contacts",,,
"Countries",,,
"Country",,,
"Date of birth",,,
"Email",,,
"Emails",,,
"Faculties",,,
"Feculty Contact",,,
"First name",,,
"Full name",,,
"Home",,,
"Last name",,,
"Max Size 4MB",,,
"Name",,,
"Office",,,
"Others",,,
"Overview",,,
"Personal",,,
"Phone",,,
"Phones",,,
"Photo",,,
"Primary",,,
"Print",,,
"State",,,
"States",,,
"Street",,,
"Student",,,
"Student Contact",,,
"Students",,,
"Title",,,
"Titles",,,
"Type",,,
"ZIP Code",,,
